measurement,valid,zero_ct,flip_poly_u,flip_msg_v,random_ct,boundary_coeff
642,19000,19000,19000,19000,19000,19000
643,19000,19000,19000,19000,19000,19000
644,19000,19000,19000,19000,19000,19000
645,19000,19000,19000,19000,19000,19000
646,19000,19000,19000,19000,19000,19000
647,19000,19000,19000,19000,19000,19000
648,19000,19000,19000,19000,19000,19000
649,19000,19000,19000,19000,19000,19000
650,19000,19000,19000,19000,19000,19000
651,19000,19000,19000,19000,19000,19000
652,19000,19000,19000,19000,19000,19000
653,19000,19000,19000,19000,19000,19000
654,19000,19000,19000,19000,19000,19000
655,19000,19000,19000,19000,19000,19000
656,19000,19000,19000,19000,19000,19000
657,19000,19000,19000,19000,19000,19000
658,19000,19000,19000,19000,19000,19000
659,19000,19000,19000,19000,19000,19000
660,19000,19000,19000,19000,19000,19000
661,19000,19000,19000,19000,19000,19000
662,19000,19000,19000,19000,19000,19000
663,19000,19000,19000,19000,19000,19000
664,19000,19000,19000,19000,19000,19000
665,19000,19000,19000,19000,19000,19000
666,19000,19000,19000,19000,19000,19000
667,19000,19000,19000,19000,19000,19000
668,19000,19000,19000,19000,19000,19000
669,19000,19000,19000,19000,19000,19000
670,19000,19000,19000,19000,19000,19000
671,19000,19000,19000,19000,19000,19000
672,19000,19000,19000,19000,19000,19000
673,19000,19000,19000,19000,19000,19000
674,19000,19000,19000,19000,19000,19000
675,19000,19000,19000,19000,19000,19000
676,19000,19000,19000,19000,19000,19000
677,19000,19000,19000,19000,19000,19000
678,19000,19000,19000,19000,19000,19000
679,19000,19000,19000,19000,19000,19000
680,19000,19000,19000,19000,19000,19000
681,19000,19000,19000,19000,19000,19000
682,19000,19000,19000,19000,19000,19000
683,19000,19000,19000,19000,19000,19000
684,19000,19000,19000,19000,19000,19000
685,19000,19000,19000,19000,19000,19000
686,19000,19000,19000,19000,19000,19000
687,19000,19000,19000,19000,19000,19000
688,19000,19000,19000,19000,19000,19000
689,19000,19000,19000,19000,19000,19000
690,19000,19000,19000,19000,19000,19000
